date,province,salinity_ppt,temperature_c,rainfall_mm,humidity_pct,ph,water_level_cm,risk_index,risk_label,season
2024-01-01,Kien Giang,3.24,28.2,0.0,65.0,7.54,58.7,53,Medium,Dry
2024-01-01,Soc Trang,3.77,28.3,6.1,67.0,7.36,48.7,56,Medium,Dry
2024-01-01,Bac Lieu,4.14,27.8,0.0,62.0,7.45,52.4,59,Medium,Dry
2024-01-01,Ben Tre,3.36,28.0,0.0,63.0,7.52,51.1,54,Medium,Dry
2024-01-01,Ca Mau,4.81,27.9,0.0,63.0,7.35,48.9,64,Medium,Dry
2024-01-02,Kien Giang,2.84,28.1,0.0,68.0,7.57,52.8,50,Medium,Dry
2024-01-02,Soc Trang,3.88,27.9,0.0,69.0,7.45,47.0,57,Medium,Dry
2024-01-02,Bac Lieu,4.34,28.2,0.5,64.0,7.4,56.9,62,Medium,Dry
2024-01-02,Ben Tre,3.56,28.4,0.0,65.0,7.51,56.6,56,Medium,Dry
2024-01-02,Ca Mau,4.83,27.8,0.0,68.0,7.37,52.9,64,Medium,Dry
2024-01-03,Kien Giang,3.47,28.5,0.0,70.0,7.54,58.7,55,Medium,Dry
2024-01-03,Soc Trang,3.97,27.0,17.8,67.0,7.52,50.7,50,Medium,Dry
2024-01-03,Bac Lieu,4.59,28.0,0.0,64.0,7.34,56.4,63,Medium,Dry
2024-01-03,Ben Tre,3.85,28.2,0.0,68.0,7.45,52.1,57,Medium,Dry
2024-01-03,Ca Mau,4.59,27.9,0.0,66.0,7.3,48.2,62,Medium,Dry
2024-01-04,Kien Giang,3.38,27.9,0.0,67.0,7.64,53.8,53,Medium,Dry
2024-01-04,Soc Trang,4.09,28.2,0.0,61.0,7.42,53.4,60,Medium,Dry
2024-01-04,Bac Lieu,4.52,29.1,0.0,67.0,7.35,49.1,65,Medium,Dry
2024-01-04,Ben Tre,4.07,28.5,0.0,70.0,7.4,55.3,60,Medium,Dry
2024-01-04,Ca Mau,4.78,29.0,0.0,65.0,7.3,51.4,67,High,Dry
2024-01-05,Kien Giang,3.49,27.5,0.0,64.0,7.63,50.5,53,Medium,Dry
2024-01-05,Soc Trang,4.37,28.0,0.0,63.0,7.43,57.8,62,Medium,Dry
2024-01-05,Bac Lieu,4.68,27.5,0.0,67.0,7.4,48.9,62,Medium,Dry
2024-01-05,Ben Tre,4.0,27.6,0.0,67.0,7.45,54.0,57,Medium,Dry
2024-01-05,Ca Mau,5.52,28.2,5.4,68.0,7.24,56.9,69,High,Dry
2024-01-06,Kien Giang,3.72,27.8,0.0,68.0,7.56,56.1,55,Medium,Dry
2024-01-06,Soc Trang,4.0,28.9,0.0,64.0,7.42,54.4,61,Medium,Dry
2024-01-06,Bac Lieu,4.9,28.3,0.0,65.0,7.49,55.4,66,High,Dry
2024-01-06,Ben Tre,3.72,27.8,0.0,67.0,7.48,55.7,55,Medium,Dry
2024-01-06,Ca Mau,5.14,28.3,0.0,64.0,7.22,51.6,68,High,Dry
2024-01-07,Kien Giang,3.61,28.5,0.0,67.0,7.49,53.7,57,Medium,Dry
2024-01-07,Soc Trang,3.99,28.2,0.0,69.0,7.48,48.4,58,Medium,Dry
