model,actual_label,predicted_label,count
baseline_logistic,High,High,80
baseline_logistic,High,Low,0
baseline_logistic,High,Medium,2
baseline_logistic,Low,High,0
baseline_logistic,Low,Low,37
baseline_logistic,Low,Medium,3
baseline_logistic,Medium,High,7
baseline_logistic,Medium,Low,99
baseline_logistic,Medium,Medium,130
xgboost,High,High,79
xgboost,High,Low,0
xgboost,High,Medium,3
xgboost,Low,High,0
xgboost,Low,Low,9
xgboost,Low,Medium,31
xgboost,Medium,High,4
xgboost,Medium,Low,7
xgboost,Medium,Medium,225
