model,horizon,mae_mean,mae_std,rmse_mean,rmse_std,fold_count
baseline_linear,1,0.35152819618662795,0.13682520764021355,0.41090539170522367,0.1420595528848382,8
xgboost,1,0.23007859012771142,0.05372363757791938,0.288413444832007,0.05699553579179893,8
baseline_linear,2,0.37909212069583526,0.14899099920697523,0.44117297480847845,0.15369493931763953,8
xgboost,2,0.24564989644994922,0.07377627953913739,0.30443230675727634,0.07781576518878172,8
baseline_linear,3,0.45121594932641196,0.21564381373543076,0.5182143500697564,0.2159384551597918,8
xgboost,3,0.2600956611413845,0.09987926252414131,0.3194719820140881,0.1031873777178367,8
baseline_linear,4,0.4933806322301201,0.24041624891668864,0.5599573596441374,0.24022156412005394,8
xgboost,4,0.27013808727044764,0.12070128110727182,0.3300550106176486,0.12413044564627906,8
baseline_linear,5,0.5680557048780812,0.3085949515308342,0.6347009323334178,0.3053530320246576,8
xgboost,5,0.28078954797291744,0.11708342401444201,0.34168263067032967,0.12042342180314355,8
baseline_linear,6,0.6286557762548529,0.3505113407299227,0.6958886567769078,0.3450591972244738,8
xgboost,6,0.29568246857374225,0.16286570273060366,0.3532906894384531,0.165191326018159,8
baseline_linear,7,0.650247224319645,0.36331028768836326,0.7170385934112329,0.35938586201496014,8
xgboost,7,0.3242961609905962,0.18229164727604147,0.3875491024788613,0.18826711400837343,8
