horizon,model,mae,rmse
1,baseline_linear,0.4688799913723681,0.5509252024885476
1,xgboost,0.31396903013899125,0.3822192904453062
2,baseline_linear,0.4797093723065224,0.5638100118911452
2,xgboost,0.34973154830099357,0.42034853732301947
3,baseline_linear,0.5987154440517825,0.6938947149438298
3,xgboost,0.4101609098740065,0.48557809264009366
4,baseline_linear,0.619233343316586,0.7172564353682445
4,xgboost,0.42800426199845054,0.5086085914511064
5,baseline_linear,0.7150980525933915,0.825843005699023
5,xgboost,0.4480646271172909,0.5307748980981805
6,baseline_linear,0.8116656737476836,0.9329804923752888
6,xgboost,0.5272090452349982,0.6116877123110526
7,baseline_linear,0.9058616528094788,1.0288947837791993
7,xgboost,0.5727096296608186,0.6628882985055694
