model,horizon,tolerance_ppt,hit_count,total_count,accuracy_pct,target_accuracy_pct,accuracy_status
baseline_linear,1,0.75,212,259,81.85328185328186,75.0,pass
xgboost,1,0.75,246,259,94.98069498069498,75.0,pass
baseline_linear,2,0.75,206,259,79.53667953667953,75.0,pass
xgboost,2,0.75,243,259,93.82239382239382,75.0,pass
baseline_linear,3,1.0,224,259,86.48648648648648,65.0,pass
xgboost,3,1.0,252,259,97.2972972972973,65.0,pass
baseline_linear,4,1.0,220,259,84.94208494208493,65.0,pass
xgboost,4,1.0,252,259,97.2972972972973,65.0,pass
baseline_linear,5,1.0,189,259,72.97297297297297,65.0,pass
xgboost,5,1.0,248,259,95.75289575289575,65.0,pass
baseline_linear,6,1.25,212,259,81.85328185328186,55.0,pass
xgboost,6,1.25,256,259,98.84169884169884,55.0,pass
baseline_linear,7,1.25,191,259,73.74517374517374,55.0,pass
xgboost,7,1.25,253,259,97.68339768339769,55.0,pass
